Ano: 1988 | Categoria: 40_RUBBER_AND_ARTICLES_THEREOF | Máximo: 109922535.0 | Mínimo: 543.0
Ano: 1988 | Categoria: 42_ARTICLES_OF_LEATHER_ANIMAL_GUT_HARNESS_TRAVEL_GOOD | Máximo: 780342976.0 | Mínimo: 151.0
Ano: 1988 | Categoria: 01_LIVE_ANIMALS | Máximo: 180808372.0 | Mínimo: 109.0
Ano: 1988 | Categoria: 23_RESIDUES_WASTES_OF_FOOD_INDUSTRY_ANIMAL_FODDER | Máximo: 494108000.0 | Mínimo: 35.0
Ano: 1988 | Categoria: 39_PLASTICS_AND_ARTICLES_THEREOF | Máximo: 115338668.0 | Mínimo: 419.0
Ano: 1988 | Categoria: 56_WADDING_FELT_NONWOVENS_YARNS_TWINE_CORDAGE_ETC | Máximo: 534356000.0 | Mínimo: 153.0
Ano: 1988 | Categoria: 70_GLASS_AND_GLASSWARE | Máximo: 30513988.0 | Mínimo: 156.0
Ano: 1988 | Categoria: 87_VEHICLES_OTHER_THAN_RAILWAY_TRAMWAY | Máximo: 933951320.0 | Mínimo: 278.0
Ano: 1988 | Categoria: 43_FURSKINS_AND_ARTIFICIAL_FUR_MANUFACTURES_THEREOF | Máximo: 320824683.0 | Mínimo: 9.0
Ano: 1988 | Categoria: 47_PULP_OF_WOOD_FIBROUS_CELLULOSIC_MATERIAL_WASTE_ETC | Máximo: 1205459968.0 | Mínimo: 1.0
Ano: 1988 | Categoria: 93_ARMS_AND_AMMUNITION_PARTS_AND_ACCESSORIES_THEREOF | Máximo: 97798632.0 | Mínimo: 164.0
Ano: 1988 | Categoria: 99_COMMODITIES_NOT_SPECIFIED_ACCORDING_TO_KIND | Máximo: 11122015232.0 | Mínimo: 721084.0
Ano: 1988 | Categoria: 49_PRINTED_BOOKS_NEWSPAPERS_PICTURES_ETC | Máximo: 720251008.0 | Mínimo: 6.0
Ano: 1988 | Categoria: 78_LEAD_AND_ARTICLES_THEREOF | Máximo: 197048269.0 | Mínimo: 29.0
Ano: 1988 | Categoria: 16_MEAT_FISH_AND_SEAFOOD_FOOD_PREPARATIONS_NES | Máximo: 470974892.0 | Mínimo: 20.0
Ano: 1988 | Categoria: 50_SILK | Máximo: 298622436.0 | Mínimo: 75.0
Ano: 1988 | Categoria: 66_UMBRELLAS_WALKING_STICKS_SEAT_STICKS_WHIPS_ETC | Máximo: 93441283.0 | Mínimo: 127.0
Ano: 1988 | Categoria: 21_MISCELLANEOUS_EDIBLE_PREPARATIONS | Máximo: 324859008.0 | Mínimo: 6.0
Ano: 1988 | Categoria: 57_CARPETS_AND_OTHER_TEXTILE_FLOOR_COVERINGS | Máximo: 652548992.0 | Mínimo: 64.0
Ano: 1988 | Categoria: 09_COFFEE_TEA_MATE_AND_SPICES | Máximo: 1853880064.0 | Mínimo: 8.0
Ano: 1988 | Categoria: 15_ANIMAL_VEGETABLE_FATS_AND_OILS_CLEAVAGE_PRODUCTS_ET | Máximo: 139996960.0 | Mínimo: 12.0
Ano: 1988 | Categoria: 37_PHOTOGRAPHIC_OR_CINEMATOGRAPHIC_GOODS | Máximo: 756873459.0 | Mínimo: 27.0
Ano: 1988 | Categoria: 61_ARTICLES_OF_APPAREL_ACCESSORIES_KNIT_OR_CROCHET | Máximo: 44431429.0 | Mínimo: 122.0
Ano: 1988 | Categoria: 67_BIRD_SKIN_FEATHERS_ARTIFICIAL_FLOWERS_HUMAN_HAIR | Máximo: 47644088.0 | Mínimo: 242.0
Ano: 1988 | Categoria: 94_FURNITURE_LIGHTING_SIGNS_PREFABRICATED_BUILDINGS | Máximo: 899617024.0 | Mínimo: 151.0
Ano: 1988 | Categoria: 52_COTTON | Máximo: 310847407.0 | Mínimo: 7.0
Ano: 1988 | Categoria: 82_TOOLS_IMPLEMENTS_CUTLERY_ETC_OF_BASE_METAL | Máximo: 59161743.0 | Mínimo: 790.0
Ano: 1988 | Categoria: 14_VEGETABLE_PLAITING_MATERIALS_VEGETABLE_PRODUCTS_NES | Máximo: 27124000.0 | Mínimo: 7.0
Ano: 1988 | Categoria: 69_CERAMIC_PRODUCTS | Máximo: 429140992.0 | Mínimo: 207.0
Ano: 1988 | Categoria: 72_IRON_AND_STEEL | Máximo: 43801801.0 | Mínimo: 337.0
Ano: 1988 | Categoria: 86_RAILWAY_TRAMWAY_LOCOMOTIVES_ROLLING_STOCK_EQUIPMEN | Máximo: 751918336.0 | Mínimo: 334.0
Ano: 1988 | Categoria: 64_FOOTWEAR_GAITERS_AND_THE_LIKE_PARTS_THEREOF | Máximo: 1143225984.0 | Mínimo: 82.0
Ano: 1988 | Categoria: 88_AIRCRAFT_SPACECRAFT_AND_PARTS_THEREOF | Máximo: 3667587072.0 | Mínimo: 237.0
Ano: 1988 | Categoria: 04_DAIRY_PRODUCTS_EGGS_HONEY_EDIBLE_ANIMAL_PRODUCT_NES | Máximo: 1474784000.0 | Mínimo: 12.0
Ano: 1988 | Categoria: 80_TIN_AND_ARTICLES_THEREOF | Máximo: 229204243.0 | Mínimo: 24.0
Ano: 1988 | Categoria: 85_ELECTRICAL_ELECTRONIC_EQUIPMENT | Máximo: 168880076.0 | Mínimo: 436.0
Ano: 1988 | Categoria: 31_FERTILIZERS | Máximo: 275371008.0 | Mínimo: 8.0
Ano: 1988 | Categoria: 73_ARTICLES_OF_IRON_OR_STEEL | Máximo: 49051642.0 | Mínimo: 29.0
Ano: 1989 | Categoria: 07_EDIBLE_VEGETABLES_AND_CERTAIN_ROOTS_AND_TUBERS | Máximo: 396660992.0 | Mínimo: 4.0
Ano: 1989 | Categoria: 24_TOBACCO_AND_MANUFACTURED_TOBACCO_SUBSTITUTES | Máximo: 944692961.0 | Mínimo: 12.0
Ano: 1989 | Categoria: 28_INORGANIC_CHEMICALS_PRECIOUS_METAL_COMPOUND_ISOTOPE | Máximo: 2101805906.0 | Mínimo: 5.0
Ano: 1989 | Categoria: 32_TANNING_DYEING_EXTRACTS_TANNINS_DERIVS_PIGMENTS_ET | Máximo: 1087693952.0 | Mínimo: 41.0
Ano: 1989 | Categoria: 66_UMBRELLAS_WALKING_STICKS_SEAT_STICKS_WHIPS_ETC | Máximo: 154857848.0 | Mínimo: 10.0
Ano: 1989 | Categoria: 82_TOOLS_IMPLEMENTS_CUTLERY_ETC_OF_BASE_METAL | Máximo: 92991078.0 | Mínimo: 75.0
Ano: 1989 | Categoria: 10_CEREALS | Máximo: 2257688990.0 | Mínimo: 1.0
Ano: 1989 | Categoria: 51_WOOL_ANIMAL_HAIR_HORSEHAIR_YARN_AND_FABRIC_THEREOF | Máximo: 3208893186.0 | Mínimo: 8.0
Ano: 1989 | Categoria: 65_HEADGEAR_AND_PARTS_THEREOF | Máximo: 92583816.0 | Mínimo: 5.0
Ano: 1989 | Categoria: 71_PEARLS_PRECIOUS_STONES_METALS_COINS_ETC | Máximo: 3325470624.0 | Mínimo: 8.0
Ano: 1989 | Categoria: 73_ARTICLES_OF_IRON_OR_STEEL | Máximo: 66316380.0 | Mínimo: 89.0
Ano: 1989 | Categoria: 29_ORGANIC_CHEMICALS | Máximo: 50882468.0 | Mínimo: 6.0
Ano: 1989 | Categoria: 70_GLASS_AND_GLASSWARE | Máximo: 148540125.0 | Mínimo: 32.0
Ano: 1989 | Categoria: 53_VEGETABLE_TEXTILE_FIBRES_NES_PAPER_YARN_WOVEN_FABRI | Máximo: 98553960.0 | Mínimo: 2.0
Ano: 1989 | Categoria: 58_SPECIAL_WOVEN_OR_TUFTED_FABRIC_LACE_TAPESTRY_ETC | Máximo: 80987000.0 | Mínimo: 19.0
Ano: 1989 | Categoria: 68_STONE_PLASTER_CEMENT_ASBESTOS_MICA_ETC_ARTICLES | Máximo: 162156000.0 | Mínimo: 66.0
Ano: 1989 | Categoria: 69_CERAMIC_PRODUCTS | Máximo: 469832992.0 | Mínimo: 3.0
Ano: 1989 | Categoria: 72_IRON_AND_STEEL | Máximo: 763289024.0 | Mínimo: 5.0
Ano: 1989 | Categoria: 06_LIVE_TREES_PLANTS_BULBS_ROOTS_CUT_FLOWERS_ETC | Máximo: 829822976.0 | Mínimo: 6.0
Ano: 1989 | Categoria: 11_MILLING_PRODUCTS_MALT_STARCHES_INULIN_WHEAT_GLUTE | Máximo: 287175993.0 | Mínimo: 12.0
Ano: 1989 | Categoria: 26_ORES_SLAG_AND_ASH | Máximo: 2688661694.0 | Mínimo: 11.0
Ano: 1989 | Categoria: 99_COMMODITIES_NOT_SPECIFIED_ACCORDING_TO_KIND | Máximo: 11211265024.0 | Mínimo: 123917.0
Ano: 1989 | Categoria: 01_LIVE_ANIMALS | Máximo: 279645040.0 | Mínimo: 1.0
Ano: 1989 | Categoria: 04_DAIRY_PRODUCTS_EGGS_HONEY_EDIBLE_ANIMAL_PRODUCT_NES | Máximo: 1321832960.0 | Mínimo: 15.0
Ano: 1989 | Categoria: 38_MISCELLANEOUS_CHEMICAL_PRODUCTS | Máximo: 1474541952.0 | Mínimo: 10.0
Ano: 1989 | Categoria: 41_RAW_HIDES_AND_SKINS_OTHER_THAN_FURSKINS_AND_LEATHER | Máximo: 943033280.0 | Mínimo: 10.0
Ano: 1989 | Categoria: 78_LEAD_AND_ARTICLES_THEREOF | Máximo: 139992877.0 | Mínimo: 23.0
Ano: 1989 | Categoria: 16_MEAT_FISH_AND_SEAFOOD_FOOD_PREPARATIONS_NES | Máximo: 460356700.0 | Mínimo: 1.0
Ano: 1989 | Categoria: 20_VEGETABLE_FRUIT_NUT_ETC_FOOD_PREPARATIONS | Máximo: 1018734336.0 | Mínimo: 4.0
Ano: 1989 | Categoria: 39_PLASTICS_AND_ARTICLES_THEREOF | Máximo: 131100754.0 | Mínimo: 31.0
Ano: 1989 | Categoria: 91_CLOCKS_AND_WATCHES_AND_PARTS_THEREOF | Máximo: 287518016.0 | Mínimo: 18.0
Ano: 1989 | Categoria: 96_MISCELLANEOUS_MANUFACTURED_ARTICLES | Máximo: 114534000.0 | Mínimo: 7.0
Ano: 1989 | Categoria: 55_MANMADE_STAPLE_FIBRES | Máximo: 82667570.0 | Mínimo: 5.0
